;timestamp;accX;accY;accZ;username
1;2159339604606949;-7.814682;-16.261414;-8.983047;ziga2
2;2159339621391617;-4.424484;-12.871231;-7.489059;ziga2
3;2159339635643326;-2.451660;-9.097961;-5.803543;ziga2
4;2159339649925552;-0.459686;-5.726929;-4.616028;ziga2
5;2159339664207779;1.225830;-3.658340;-3.026276;ziga2
6;2159339678490005;3.275269;-2.968811;-1.206680;ziga2
7;2159339692772232;5.363007;-4.788406;0.114929;ziga2
8;2159339708540504;8.006210;-8.580826;0.976837;ziga2
9;2159339724379127;7.335831;-14.537598;1.149216;ziga2
10;2159339740217750;-0.517151;-23.501480;-12.890381;ziga2
11;2159339756086890;-11.224014;-24.650696;-18.962082;ziga2
12;2159339771925514;-1.034302;-7.508209;3.811569;ziga2
13;2159339787794654;4.386185;0.344772;14.480133;ziga2
14;2159339803572242;6.665451;1.628052;7.086838;ziga2
15;2159339819410865;0.881073;-3.409348;-0.095764;ziga2
16;2159339835249488;-7.603989;-12.622238;-0.593765;ziga2
17;2159339851118629;-5.477936;-16.012421;1.302444;ziga2
18;2159339866957252;-3.696640;-13.503296;-0.019150;ziga2
19;2159339882826392;-3.332733;-11.281479;-0.766144;ziga2
20;2159339898603980;-0.114929;-9.902420;-0.689529;ziga2
21;2159339914381568;2.834732;-8.178589;1.589752;ziga2
22;2159339930220191;3.983948;-7.699753;1.417374;ziga2
23;2159339946089332;3.332733;-8.236053;0.632065;ziga2
24;2159339961958473;1.704666;-9.327805;1.034302;ziga2
25;2159339977827613;-0.727844;-10.515335;0.995987;ziga2
26;2159339993696754;-1.704666;-10.342957;0.038315;ziga2
27;2159340009474342;-1.742981;-10.074799;-0.651230;ziga2
28;2159340025312965;-1.359909;-9.442734;0.459686;ziga2
29;2159340041151588;-0.766144;-8.810669;1.704666;ziga2
30;2159340056990211;-0.325607;-9.040512;0.842758;ziga2
31;2159340072828834;0.306458;-8.906433;0.210693;ziga2
32;2159340088697974;0.268158;-9.136276;0.632065;ziga2
33;2159340104475562;0.095764;-9.308655;0.229843;ziga2
34;2159340120253150;0.134079;-9.232040;-0.153229;ziga2
35;2159340136091773;-0.421387;-9.634262;0.095764;ziga2
36;2159340151960914;-1.110916;-9.806656;-0.363922;ziga2
37;2159340167830055;-1.877060;-10.093948;-1.762131;ziga2
38;2159340183699195;-2.279282;-11.224014;-0.881073;ziga2
39;2159340199568336;-2.738968;-11.683701;1.819595;ziga2
40;2159340215345924;-3.371033;-11.530472;1.991974;ziga2
41;2159340231184547;-3.562576;-11.319794;0.517151;ziga2
42;2159340247023170;-2.432510;-11.396408;-0.881073;ziga2
43;2159340262861793;0.402222;-11.185715;-1.379059;ziga2
44;2159340278700416;2.049438;-11.013321;-1.072601;ziga2
45;2159340294569556;0.344772;-11.319794;-2.106903;ziga2
46;2159340310347144;-2.011124;-11.722015;-3.562576;ziga2
47;2159340326185767;-3.351883;-12.143387;-3.275269;ziga2
48;2159340342024390;-4.769257;-11.990158;-2.834732;ziga2
49;2159340357893531;-6.550537;-12.449844;-1.628052;ziga2
50;2159340373732154;-7.393295;-12.775467;-0.574615;ziga2
51;2159340389601295;-6.454773;-11.702866;0.478836;ziga2
52;2159340405378883;-4.137177;-10.764328;4.520248;ziga2
53;2159340421217506;-0.957687;-12.028473;5.248093;ziga2
54;2159340437056129;1.359909;-16.261414;3.236954;ziga2
55;2159340452925269;2.700653;-18.674774;0.785294;ziga2
56;2159340468763892;3.026276;-16.108185;-0.536301;ziga2
57;2159340484633033;3.102890;-12.909531;-0.134079;ziga2
58;2159340500410621;2.260132;-12.756302;-1.589752;ziga2
59;2159340516188209;1.857895;-13.541611;-2.432510;ziga2
60;2159340532026832;3.045425;-12.794617;-0.019150;ziga2
61;2159340547895973;0.191544;-12.143387;6.856995;ziga2
62;2159340563734596;-2.566589;-9.959885;-0.459686;ziga2
63;2159340579603736;-1.915359;-7.852982;-1.857895;ziga2
64;2159340595472877;-0.632065;-7.967911;1.493988;ziga2
65;2159340611250465;0.861908;-7.738068;1.704666;ziga2
66;2159340627089088;1.953674;-6.742065;0.363922;ziga2
67;2159340642927711;2.892197;-5.880157;0.746994;ziga2
68;2159340658796851;3.313568;-5.228943;0.632065;ziga2
69;2159340674635474;3.620026;-4.616028;0.804459;ziga2
70;2159340690504615;3.351883;-4.098877;1.149216;ziga2
71;2159340706282203;2.777267;-3.696640;0.938522;ziga2
72;2159340722059791;2.758118;-3.294418;0.881073;ziga2
73;2159340737898414;3.045425;-3.122040;0.555450;ziga2
74;2159340753767555;3.294418;-3.275269;-0.536301;ziga2
75;2159340769606178;3.160339;-4.118027;-2.183517;ziga2
76;2159340785475318;2.355896;-6.110001;-4.328720;ziga2
77;2159340801344459;-0.363922;-9.921570;-8.389282;ziga2
78;2159340817122047;-5.861008;-14.997284;-13.254303;ziga2
