,timestamp,accX,accY,accZ,username
0,1579021683508,-1.972824,1.110916,7.565674,tilllll
1,1579021683523,-0.038315,1.666367,8.772354,tilllll
2,1579021683539,2.528275,0.670380,9.883270,tilllll
3,1579021683555,3.639191,0.421387,8.944733,tilllll
4,1579021683571,4.462799,1.091751,7.412445,tilllll
5,1579021683587,4.558563,1.723831,7.469910,tilllll
6,1579021683603,4.884171,1.877060,9.461884,tilllll
7,1579021683619,4.730942,-0.632065,11.856094,tilllll
8,1579021683635,3.869034,-2.202667,11.453857,tilllll
9,1579021683651,2.662354,-0.919373,11.856094,tilllll
10,1579021683666,1.321594,0.421387,13.675674,tilllll
11,1579021683682,0.919373,-0.670380,16.510422,tilllll
12,1579021683698,0.881073,-2.719818,16.318878,tilllll
13,1579021683714,3.294418,-2.624039,12.660538,tilllll
14,1579021683730,4.290405,-2.509125,11.607086,tilllll
15,1579021683746,4.022263,-1.934509,14.173676,tilllll
16,1579021683762,2.853882,-1.589752,15.629349,tilllll
17,1579021683777,2.394196,-1.896210,13.713989,tilllll
18,1579021683794,2.240967,-1.857895,10.323792,tilllll
19,1579021683809,2.375046,-1.877060,9.461884,tilllll
20,1579021683825,1.264145,-1.379059,9.634262,tilllll
21,1579021683840,1.206680,-0.440536,9.691727,tilllll
22,1579021683856,2.432510,-0.172379,8.695740,tilllll
23,1579021683872,3.026276,-0.248993,6.818680,tilllll
24,1579021683888,2.930496,-0.344772,5.975922,tilllll
25,1579021683904,2.068588,-0.325607,6.378159,tilllll
26,1579021683920,1.532288,-0.344772,5.861008,tilllll
27,1579021683936,3.447647,0.134079,4.999100,tilllll
28,1579021683952,5.209778,1.034302,4.960785,tilllll
29,1579021683968,5.612015,0.229843,4.405334,tilllll
30,1579021683983,5.209778,-0.823608,3.256119,tilllll
31,1579021684000,3.351883,-1.800446,2.930496,tilllll
32,1579021684015,1.340759,-2.509125,2.892197,tilllll
33,1579021684031,-1.015137,-2.968811,6.090851,tilllll
34,1579021684047,-1.034302,-2.509125,8.465897,tilllll
35,1579021684063,2.892197,-2.930496,9.672577,tilllll
36,1579021684079,6.876144,-3.811569,9.557648,tilllll
37,1579021684095,7.220917,-3.983948,10.132263,tilllll
38,1579021684110,6.052536,-4.194641,13.215988,tilllll
39,1579021684126,6.799530,-4.520248,14.097061,tilllll
40,1579021684142,9.136276,-3.600876,12.392395,tilllll
41,1579021684157,11.396408,-1.570602,12.622238,tilllll
42,1579021684174,13.407532,-0.210693,15.016434,tilllll
43,1579021684190,12.737152,-0.555450,14.231140,tilllll
44,1579021684206,10.362106,-0.957687,9.576813,tilllll
45,1579021684221,10.745178,0.229843,5.995087,tilllll
46,1579021684237,10.400406,2.547424,5.880157,tilllll
47,1579021684253,9.615112,2.547424,5.975922,tilllll
48,1579021684269,10.228027,2.068588,5.114014,tilllll
49,1579021684284,13.081924,-0.325607,4.826706,tilllll
50,1579021684300,11.262329,0.000000,3.620026,tilllll
51,1579021684316,7.354980,-1.187531,4.098877,tilllll
52,1579021684332,4.922485,-0.459686,4.903320,tilllll
53,1579021684348,0.881073,0.287308,5.726929,tilllll
54,1579021684364,4.481949,1.149216,6.320694,tilllll
55,1579021684380,7.048523,2.719818,5.592850,tilllll
56,1579021684396,5.880157,1.857895,6.473923,tilllll
57,1579021684412,5.439621,0.536301,4.558563,tilllll
58,1579021684428,3.983948,0.191544,3.045425,tilllll
59,1579021684444,7.814682,-0.536301,5.497086,tilllll
60,1579021684459,6.933609,-0.498001,9.212891,tilllll
61,1579021684475,3.026276,-2.087738,4.098877,tilllll
62,1579021684490,4.232956,-0.900223,1.800446,tilllll
63,1579021684506,5.937622,0.383072,3.734955,tilllll
64,1579021684522,7.852982,-0.727844,3.466797,tilllll
65,1579021684538,10.783478,3.811569,4.041412,tilllll
66,1579021684554,5.056549,-0.976837,-4.941635,tilllll
67,1579021684570,6.665451,-2.719818,-1.628052,tilllll
68,1579021684586,6.531387,-3.524261,4.635178,tilllll
69,1579021684602,2.240967,-4.232956,7.029373,tilllll
70,1579021684618,5.918472,-0.555450,6.895294,tilllll
71,1579021684633,8.714890,1.800446,3.715805,tilllll
72,1579021684649,8.868118,0.919373,3.734955,tilllll
73,1579021684665,11.990158,1.838745,4.673477,tilllll
74,1579021684680,15.552734,2.279282,3.620026,tilllll
75,1579021684697,15.284592,1.053452,2.221817,tilllll
76,1579021684712,13.848068,1.991974,4.424484,tilllll
77,1579021684729,10.898407,2.489975,5.822693,tilllll
78,1579021684745,7.967911,3.141190,6.837845,tilllll
