,timestamp,accX,accY,accZ,username
1,2153601643874428,-0.478836,-7.623138,-2.968811,fri-tilen1
2,2153601667311928,-0.900223,-7.144302,-2.260132,fri-tilen1
3,2153601690749428,1.321594,-7.297531,0.536301,fri-tilen1
4,2153601714186928,4.194641,-7.910446,0.957687,fri-tilen1
5,2153601737624428,4.137177,-9.423584,1.474823,fri-tilen1
6,2153601761061928,3.715805,-10.132263,1.551437,fri-tilen1
7,2153601761977455,3.524261,-9.844955,-1.130066,fri-tilen1
8,2153601762892982,2.298431,-9.576813,-6.224930,fri-tilen1
9,2153601778731605,1.053452,-9.653427,-4.347870,fri-tilen1
10,2153601792952797,1.015137,-10.093948,-1.474823,fri-tilen1
11,2153601807173988,3.007111,-10.074799,-4.750092,fri-tilen1
12,2153601821425697,6.588837,-9.557648,-3.256119,fri-tilen1
13,2153601835646889,8.791504,-9.672577,-0.498001,fri-tilen1
14,2153601849898598,7.508209,-9.097961,-1.781281,fri-tilen1
15,2153601865737221,5.650314,-8.944733,-2.470810,fri-tilen1
16,2153601881575844,6.454773,-8.925583,0.191544,fri-tilen1
17,2153601897414467,6.493073,-8.887283,-2.164352,fri-tilen1
18,2153601913253090,6.071701,-10.706863,-5.688629,fri-tilen1
19,2153601929091713,6.991074,-12.411545,-0.325607,fri-tilen1
20,2153601944960853,5.075714,-12.488159,-4.788406,fri-tilen1
21,2153601960799477,6.224930,-13.177689,-2.336746,fri-tilen1
22,2153601976638100,8.465897,-12.909531,1.915359,fri-tilen1
23,2153601992476723,8.791504,-12.181702,5.305557,fri-tilen1
24,2153602008315346,5.037399,-13.062759,3.754105,fri-tilen1
25,2153602024184486,2.681503,-14.480133,0.498001,fri-tilen1
26,2153602040023109,1.091751,-17.697937,-1.819595,fri-tilen1
27,2153602055892250,-0.402222,-18.732239,-4.78840,fri-tilen16
28,2153602071730873,-1.110916,-16.146500,-2.26013,fri-tilen12
29,2153602087569496,0.555450,-11.645401,0.402222,fri-tilen1
30,2153602103408119,3.964798,-8.944733,1.877060,fri-tilen1
31,2153602119246742,3.983948,-7.757217,-1.436523,fri-tilen1
32,2153602135085365,4.156342,-7.259216,-0.861908,fri-tilen1
33,2153602150954506,5.382172,-6.493073,1.321594,fri-tilen1
34,2153602166793129,6.110001,-5.439621,0.823608,fri-tilen1
35,2153602182631752,5.152328,-4.616028,0.823608,fri-tilen1
36,2153602198470375,3.275269,-3.811569,0.804459,fri-tilen1
37,2153602214339516,1.589752,-3.217804,1.015137,fri-tilen1
38,2153602230178139,1.091751,-2.719818,2.126053,fri-tilen1
39,2153602246047279,1.264145,-2.777267,2.528275,fri-tilen1
40,2153602261885902,0.191544,-3.696640,2.068588,fri-tilen1
41,2153602277724525,-1.398209,-4.232956,1.225830,fri-tilen1
42,2153602293563148,-3.198654,-4.999100,-0.095764,fri-tilen1
43,2153602309401771,-1.838745,-5.841858,-1.168365,fri-tilen1
44,2153602325240395,1.110916,-7.431595,-1.513138,fri-tilen1
45,2153602341109535,2.643204,-9.270355,-3.926498,fri-tilen1
46,2153602356948158,4.347870,-11.243164,-8.025360,fri-tilen1
47,2153602372786781,8.121140,-15.361206,-14.97811,fri-tilen19
48,2153602388625404,11.243164,-19.555847,-22.4288,fri-tilen179
49,2153602404464027,7.508209,-14.767441,-14.32690,fri-tilen14
50,2153602420302650,6.148315,-7.661453,-13.675674,fri-tilen1
51,2153602436141273,4.577713,-3.677490,-13.043610,fri-tilen1
52,2153602452010414,5.056549,-4.730942,-4.156342,fri-tilen1
53,2153602467849037,7.661453,-12.583923,5.688629,fri-tilen1
54,2153602483687660,7.469910,-19.287689,11.185715,fri-tilen1
55,2153602499526283,2.873047,-23.616409,7.450760,fri-tilen1
56,2153602515364906,0.517151,-17.832016,5.420471,fri-tilen1
57,2153602531203529,-0.785294,-9.576813,1.570602,fri-tilen1
58,2153602547072670,-1.283295,-5.190628,-0.995987,fri-tilen1
59,2153602562911293,-0.402222,-2.566589,-1.493988,fri-tilen1
60,2153602578749916,0.938522,-1.781281,-1.493988,fri-tilen1
61,2153602594588539,1.685516,-2.796432,-1.264145,fri-tilen1
62,2153602610427162,4.730942,-6.244080,-1.264145,fri-tilen1
63,2153602626296303,8.829819,-11.319794,3.409348,fri-tilen1
64,2153602642134926,7.661453,-12.545624,4.558563,fri-tilen1
65,2153602658004066,4.252106,-9.040512,4.309570,fri-tilen1
66,2153602673842689,2.375046,-7.738068,0.574615,fri-tilen1
67,2153602689681312,1.110916,-7.278366,-3.428497,fri-tilen1
68,2153602705519936,1.225830,-6.914459,-15.303741,fri-tilen1
69,2153602721358559,3.122040,-8.408432,-2.911346,fri-tilen1
